Age,Carb,Fat,Protein,Sodium,PAL,Energy,weight,height,BMI,BMR,PA
36,442.3424633,85.78606099,72.15012144,4.508314711,1.6,2830.044888,62,174,20.47826661,1549.63,2479.408
37,441.5665535,85.57444675,71.97685351,4.5005456,1.6,2824.343649,62,174,20.47826661,1543.953,2470.3248
38,440.4929912,85.32801681,71.76377872,4.489228597,1.6,2816.979231,62,174,20.47826661,1538.276,2461.2416
39,439.2188735,85.0701542,71.52832413,4.475340144,1.6,2808.620178,62,174,20.47826661,1532.599,2452.1584
40,437.8490115,84.82192385,71.28830598,4.459904821,1.6,2799.946584,62,174,20.47826661,1526.922,2443.0752
41,436.4871669,84.60212517,71.06087234,4.443934503,1.6,2791.611284,62,174,20.47826661,1521.245,2433.992
42,435.227331,84.42756752,70.86148348,4.428373984,1.6,2784.203366,62,174,20.47826661,1515.568,2424.9088
43,434.1461346,84.31307823,70.70295472,4.414052765,1.6,2778.214062,62,174,20.47826661,1509.891,2415.8256
44,433.297438,84.27093071,70.59462658,4.401642925,1.6,2774.006635,62,174,20.47826661,1504.214,2406.7424
45,432.7098604,84.30968444,70.54176152,4.391624589,1.6,2771.793648,62,174,20.47826661,1498.537,2397.6592
46,432.3875564,84.43274745,70.54528031,4.384262889,1.6,2771.626074,62,174,20.47826661,1492.86,2388.576
47,432.3139886,84.63718436,70.60192457,4.379601961,1.6,2773.398312,62,174,20.47826661,1487.183,2379.4928
48,432.4578827,84.91331508,70.70486567,4.377481004,1.6,2776.870829,62,174,20.47826661,1481.506,2370.4096
49,432.780112,85.24546515,70.84468911,4.377574114,1.6,2781.708391,62,174,20.47826661,1475.829,2361.3264
50,433.2400414,85.61389572,71.01059385,4.379449737,1.6,2787.527602,62,174,20.47826661,1470.152,2352.2432
51,433.8000135,85.99757547,71.19159123,4.382639411,1.6,2793.944598,62,174,20.47826661,1464.475,2343.16
52,434.4271388,86.37717868,71.37748945,4.386701281,1.6,2800.613121,62,174,20.47826661,1458.798,2334.0768
53,435.09233,86.73759866,71.55950968,4.391263973,1.6,2807.245747,62,174,20.47826661,1453.121,2324.9936
54,435.7673441,87.06938432,71.73048104,4.396041172,1.6,2813.61576,62,174,20.47826661,1447.444,2315.9104
55,436.4212103,87.36880059,71.88467257,4.400815474,1.6,2819.542737,62,174,20.47826661,1441.767,2306.8272
56,437.0176046,87.63659669,72.01740748,4.405399221,1.6,2824.869419,62,174,20.47826661,1436.09,2297.744
57,437.5144019,87.87592543,72.12464625,4.409587294,1.6,2829.439522,62,174,20.47826661,1430.413,2288.6608
58,437.8659197,88.0900928,72.20271467,4.413119958,1.6,2833.085373,62,174,20.47826661,1424.736,2279.5776
59,438.027511,88.28086231,72.2482979,4.415671944,1.6,2835.630997,62,174,20.47826661,1419.059,2270.4944
60,437.9614646,88.44787034,72.25873785,4.416876952,1.6,2836.911643,62,174,20.47826661,1413.382,2261.4112
61,437.6428151,88.58936235,72.23257712,4.416386136,1.6,2836.80583,62,174,20.47826661,1407.705,2252.328
62,437.0637214,88.70402083,72.17020521,4.413947525,1.6,2835.271894,62,174,20.47826661,1402.028,2243.2448
63,436.2354081,88.79325024,72.07440112,4.409483759,1.6,2832.378489,62,174,20.47826661,1396.351,2234.1616
64,435.1871725,88.86304909,71.95054989,4.403142076,1.6,2828.318331,62,174,20.47826661,1390.674,2225.0784
65,433.9624856,88.92463373,71.80635721,4.395295006,1.6,2823.397075,62,174,20.47826661,1384.997,2215.9952
66,432.6127259,88.99330898,71.6509957,4.386483016,1.6,2817.994667,62,174,20.47826661,1379.32,2206.912
67,431.189545,89.08562719,71.49377394,4.377307868,1.6,2812.503921,62,174,20.47826661,1373.643,2197.8288
68,429.7372271,89.21546636,71.34257783,4.368302013,1.6,2807.258417,62,174,20.47826661,1367.966,2188.7456
69,428.2865914,89.39009047,71.20244207,4.359808832,1.6,2802.466948,62,174,20.47826661,1362.289,2179.6624
70,426.8518332,89.60735847,71.0746223,4.351906875,1.6,2798.172048,62,174,20.47826661,1356.612,2170.5792
71,425.4311854,89.85497499,70.95644017,4.344398597,1.6,2794.245277,62,174,20.47826661,1350.935,2161.496
72,424.0114034,90.11210072,70.84199,4.336865002,1.6,2790.42248,62,174,20.47826661,1345.258,2152.4128
73,422.5750868,90.35295301,70.72357649,4.328768457,1.6,2786.37123,62,174,20.47826661,1339.581,2143.3296
74,421.1089904,90.55144443,70.59355972,4.319573925,1.6,2781.7732,62,174,20.47826661,1333.904,2134.2464
75,419.6110544,90.6856081,70.44616531,4.308856872,1.6,2776.399352,62,174,20.47826661,1328.227,2125.1632
76,418.0940737,90.74062099,70.27879905,4.296374137,1.6,2770.15708,62,174,20.47826661,1322.55,2116.08
77,416.5846884,90.70963822,70.09249846,4.282087855,1.6,2763.095491,62,174,20.47826661,1316.873,2106.9968
78,415.1176082,90.59228673,69.89134567,4.266146806,1.6,2755.366396,62,174,20.47826661,1311.196,2097.9136
79,413.7262859,90.39138045,69.68093488,4.248839649,1.6,2747.151307,62,174,20.47826661,1305.519,2088.8304
80,412.4323341,90.10903347,69.46627444,4.230538181,1.6,2738.575735,62,174,20.47826661,1299.842,2079.7472
81,411.2364463,89.74368144,69.24973166,4.211646453,1.6,2729.637845,62,174,20.47826661,1294.165,2070.664
82,410.1133346,89.28941831,69.02970466,4.19256546,1.6,2720.176922,62,174,20.47826661,1288.488,2061.5808
83,409.0123169,88.73844836,68.80057124,4.173675448,1.6,2709.897588,62,174,20.47826661,1282.811,2052.4976
84,407.863964,88.08641975,68.55412662,4.155330806,1.6,2698.45014,62,174,20.47826661,1277.134,2043.4144
85,406.5920195,87.33920965,68.28226988,4.137856463,1.6,2685.550044,62,174,20.47826661,1271.457,2034.3312
86,405.1288378,86.51878382,67.98027516,4.121531249,1.6,2671.105506,62,174,20.47826661,1265.78,2025.248
87,403.4318507,85.66549469,67.64973411,4.10654424,1.6,2655.315792,62,174,20.47826661,1260.103,2016.1648
88,401.4979899,84.83488954,67.30026397,4.092917704,1.6,2638.707021,62,174,20.47826661,1254.426,2007.0816
89,399.3726145,84.08873375,66.94934643,4.080406943,1.6,2622.086447,62,174,20.47826661,1248.749,1997.9984
90,397.149665,83.48206463,66.62012043,4.06841022,1.6,2606.417723,62,174,20.47826661,1243.072,1988.9152
91,394.9609517,83.04993308,66.33748045,4.055943165,1.6,2592.643126,62,174,20.47826661,1237.395,1979.832
92,392.9549413,82.79824822,66.12329737,4.041737147,1.6,2581.497189,62,174,20.47826661,1231.718,1970.7488
93,391.2686455,82.70229584,65.99185752,4.024497516,1.6,2573.362675,62,174,20.47826661,1226.041,1961.6656
94,389.9991192,82.71411291,65.94661914,4.003302292,1.6,2568.20997,62,174,20.47826661,1220.364,1952.5824
95,389.1822322,82.77672143,65.9790874,3.978049339,1.6,2565.635771,62,174,20.47826661,1214.687,1943.4992
96,388.7849715,82.84048235,66.07008168,3.949800773,1.6,2564.984554,62,174,20.47826661,1209.01,1934.416
97,388.7138527,82.87575906,66.19307016,3.920862827,1.6,2565.509523,62,174,20.47826661,1203.333,1925.3328
98,388.8374319,82.87733128,66.31877808,3.894498422,1.6,2566.520822,62,174,20.47826661,1197.656,1916.2496
99,389.0171528,82.8592428,66.42008162,3.87428907,1.6,2567.482123,62,174,20.47826661,1191.979,1907.1664
100,389.1390182,82.84271844,66.47630237,3.863300229,1.6,2568.045748,62,174,20.47826661,1186.302,1898.0832
