"Age","Sex","FoodCarbohydrate","FoodFat","FoodProtein","FoodSodium","EnergyIntake","PhysicalActivity","Weight","Height","gender","RMR","steadystate","ratio","EnergyIntake_old"
70,"Male",280.397532423388,61.0830317858797,48.5877471457602,2820.36974215107,1865.68840472384,1.6,53.46946476,155.407248,1,1166.0552529524,1865.68840472384,1.03980029526356,1794.275702
71,"Male",277.898388590192,60.6061648909481,48.1770723308866,2795.79172806571,1849.75732749568,1.6,53.20542652,155.023379,1,1156.0983296848,1849.75732749568,1.03583673559662,1785.761466
72,"Male",275.460006722768,60.1308993048703,47.7748831966603,2771.54508271987,1834.11765377232,1.6,52.95961923,154.63951,1,1146.3235336077,1834.11765377232,1.03168336550336,1777.791244
73,"Male",273.027285976213,59.6444831537963,47.3715062845518,2747.07894748261,1818.39551731424,1.6,52.70865286,154.255641,1,1136.4971983214,1818.39551731424,1.02714530029862,1770.33913
74,"Male",270.616002413575,59.1496981012307,46.9695602109815,2722.55773761588,1802.68953332752,1.6,52.45869703,153.871772,1,1126.6809583297,1802.68953332752,1.02229706896617,1763.371517
75,"Male",265.890441510562,58.1352865629704,46.1634128335008,2674.49494519605,1771.43299610016,1.6,51.23585874,153.487903,1,1107.1456225626,1771.43299610016,1.00830116604788,1756.8491
76,"Male",263.354934938244,57.5855851319347,45.7348862109535,2648.21458452091,1754.6295505136,1.6,50.9172429,153.104034,1,1096.643469071,1754.6295505136,1.00222804320119,1750.728851
77,"Male",261.143471760886,57.0924391844985,45.3600626486285,2624.95188313012,1739.84609023872,1.6,50.72500258,152.7201649,1,1087.4038063992,1739.84609023872,0.99706596969001,1744.965873
78,"Male",258.735168991322,56.5417683473639,44.9484087983148,2599.48150324468,1723.61022658208,1.6,50.44189612,152.3362959,1,1077.2563916138,1723.61022658208,0.990856721257432,1739.515098
79,"Male",256.311068173548,55.9731512713229,44.5313129048163,2573.63786587824,1707.1278854896,1.6,50.1433694,151.9524269,1,1066.954928431,1707.1278854896,0.984313912642121,1734.332781
80,"Male",251.728533416806,54.9193215302563,43.736479608094,2525.93647220687,1676.13394620144,1.6,48.93695991,151.5685579,1,1047.5837163759,1676.13394620144,0.96921212957988,1729.377806
81,"Male",249.425064112321,54.3493530771997,43.3349213680141,2500.93709907645,1660.18411974128,1.6,48.67174867,151.1846889,1,1037.6150748383,1660.18411974128,0.962641660416585,1724.61279
82,"Male",247.241358106453,53.7922152726032,42.9515255452274,2476.97368025087,1644.90147151504,1.6,48.44827781,150.8008199,1,1028.0634196969,1644.90147151504,0.956335265885646,1720.005034
83,"Male",245.024495105048,53.2154277789989,42.5598097957278,2452.53281045772,1629.2760695856,1.6,48.2033634,150.4169509,1,1018.297543491,1629.2760695856,0.9497231840271,1715.527321
84,"Male",242.780388797446,52.6214365383025,42.1609388071283,2427.6972446011,1613.35823937616,1.6,47.94015399,150.0330818,1,1008.3488996101,1613.35823937616,0.94284554012801,1711.158584
85,"Male",237.536127932139,51.3687734725482,41.2389725274046,2372.79614789341,1577.41936341456,1.6,46.42437659,149.6492128,1,985.8871021341,1577.41936341456,0.924151221573488,1706.884465
86,"Male",235.415730898445,50.7850120486636,40.8575151427562,2349.06285026346,1562.15809218992,1.6,46.20224313,149.2653438,1,976.3488076187,1562.15809218992,0.917460602809223,1702.697737
87,"Male",233.323845477223,50.2011161609397,40.4793161829307,2325.57455939127,1547.02269240784,1.6,45.98798451,148.8814748,1,966.8891827549,1547.02269240784,0.910764143325674,1698.598593
88,"Male",231.182283128861,49.6024089676148,40.0911498229382,2301.58472744143,1531.51541239824,1.6,45.75046011,148.4976058,1,957.1971327489,1531.51541239824,0.903764997282306,1694.594742
89,"Male",229.034192942253,49.0005663140354,39.7008913145532,2277.55923761146,1515.94543371008,1.6,45.50901312,148.1137368,1,947.4658960688,1515.94543371008,0.89663705028025,1690.701308
90,"Male",226.860913739079,48.3941319181625,39.3057311385498,2253.34979120266,1500.21376695184,1.6,45.25745051,147.7298678,1,937.6336043449,1500.21376695184,0.889310443553213,1686.940458
91,"Male",224.687685106392,47.7911324157128,38.9104954678517,2229.24554258529,1484.51291426768,1.6,45.00781577,147.3459987,1,927.8205714173,1484.51291426768,0.88188497495208,1683.340749
92,"Male",222.599849118902,47.2123106282467,38.5304197773956,2206.13038330156,1469.4318712744,1.6,44.79695785,146.9621297,1,918.3949195465,1469.4318712744,0.874695060824665,1679.936171
93,"Male",220.473062057413,46.6338176894251,38.1444341582809,2182.80797670815,1454.17434430176,1.6,44.57505864,146.5782607,1,908.8589651886,1454.17434430176,0.867250001265389,1676.76488
94,"Male",218.244332214953,46.0449172398708,37.742104464514,2158.69210343462,1438.35000215168,1.6,44.31769802,146.1943917,1,898.9687513448,1438.35000215168,0.85929732676051,1673.867656
95,"Male",216.084702880131,45.4840526796261,37.3534401538061,2135.50851241843,1423.1090464312,1.6,44.09683555,145.8105227,1,889.4431540195,1423.1090464312,0.851505323156805,1671.286142
96,"Male",213.832139906445,44.9190997122395,36.9508023039643,2111.68401661048,1407.40366663968,1.6,43.84691752,145.4266537,1,879.6272916498,1407.40366663968,0.843230845413536,1669.060939
97,"Male",211.696262339795,44.3957904163562,36.5707347517697,2089.31281711108,1392.63010162064,1.6,43.65529621,145.0427847,1,870.3938135129,1392.63010162064,0.835295903362122,1667.229656
98,"Male",209.401046599064,43.8574708641697,36.1657957235047,2065.68780636196,1376.98460728272,1.6,43.40912483,144.6589156,1,860.6153795517,1376.98460728272,0.826608179181698,1665.825045
99,"Male",207.169059519298,43.3516395649403,35.7746015801465,2043.01665982641,1361.93940009776,1.6,43.20050889,144.2750466,1,851.2121250611,1361.93940009776,0.818043866711852,1664.87331
100,"Male",204.66863585863,42.8092260951918,35.3399595932685,2018.03235245323,1345.31741622784,1.6,42.89324576,143.8911776,1,840.8233851424,1345.31741622784,0.808293247538839,1664.392744
