"","x"
"217",0.575105006184494
"218",0.575139832735301
"219",0.575481199875939
"220",0.57550724190518
"221",0.575532637419519
"222",0.575581507703678
"223",0.57580062245864
"224",0.576171947275282
"225",0.576322333849722
"226",0.576632265438989
"227",0.576651483606209
"228",0.576950059751903
"229",0.577605615082816
"230",0.577751655781298
"231",0.578561485070904
"232",0.579071359438631
"233",0.579730624946772
"234",0.58028168065083
"235",0.580316353465609
"236",0.580622714732325
"237",0.580891687824971
"238",0.581013401264571
"239",0.581122614012859
"240",0.581680258442145
"241",0.581774954168685
"242",0.582015088737198
"243",0.582036511958696
"244",0.582449969825013
"245",0.582499054345789
"246",0.582551057532566
"247",0.582576692263009
"248",0.582616074485465
"249",0.583392535356422
"250",0.583586456099254
"251",0.58374000307486
"252",0.584347355860101
"253",0.584367676138164
"254",0.584369873809995
"255",0.584752873516417
"256",0.584888112791864
"257",0.58514484220065
"258",0.5852649128658
"259",0.585319777003962
"260",0.585335845844066
"261",0.585419709414567
"262",0.58568215922402
"263",0.585864671888367
"264",0.5858872028879
"265",0.585908351264973
"266",0.58600935399752
"267",0.586476217993449
"268",0.586543675256189
"269",0.587116675635875
"270",0.587234072467122
"271",0.587267631874996
"272",0.587410907078143
"273",0.588407299235611
"274",0.589642800194128
"275",0.589659546342492
"276",0.589821234214542
"277",0.590022448742271
"278",0.590072809207199
"279",0.590590979261172
"280",0.590709841521124
"281",0.590734028470628
"282",0.591189432299203
"283",0.591201235251036
"284",0.591250358447958
"285",0.591351039175842
"286",0.591570536534902
"287",0.592157403078303
"288",0.592166820864679
"289",0.592712657875429
"290",0.592898072238443
"291",0.593003340346541
"292",0.593272733608559
"293",0.593382550688479
"294",0.593434682417351
"295",0.593589797770972
"296",0.594019350073603
"297",0.594963702536907
"298",0.595664751122619
"299",0.595692766374411
"300",0.595905782743735
"301",0.595937959000063
"302",0.596052557798341
"303",0.596053097425555
"304",0.596076602210521
"305",0.596872449513148
"306",0.597183337611632
"307",0.597316670038723
"308",0.597411646813787
"309",0.597745731204759
"310",0.597758790842356
"311",0.597855384918539
"312",0.597861913475695
"313",0.597985751013105
"314",0.598327222622278
"315",0.598355606489188
"316",0.598687229259877
"317",0.598830172257837
"318",0.598887329580519
"319",0.599144011599596
"320",0.599222239006683
"321",0.599634997435879
"322",0.599636674210785
"323",0.599730204691512
"324",0.599826762711374
"325",0.599897709731992
"326",0.599974260455987
"327",0.600058694521835
"328",0.60009477794378
"329",0.600344692322894
"330",0.600381302582644
"331",0.600504597682624
"332",0.600575134022012
"333",0.600620572177376
"334",0.60073634203034
"335",0.601069130366969
"336",0.601361477361896
"337",0.601522061990467
"338",0.601640951630671
"339",0.601844651426389
"340",0.601862960773791
"341",0.601953477552098
"342",0.602156117868354
"343",0.602569817406507
"344",0.60261138763344
