Age,FoodCarbohydrate,FoodFat,FoodProtein,FoodSodium,EnergyIntake,PhysicalActivity,Weight,Height,gender,RMR,steadystate,ratio,EnergyIntake_old
74,217.5578651,48.80794346,37.88820605,2212.849542,1461.055776,1.6,50.63826569,149.1781737,0,913.1598599,1461.055776,0.92498995,1579.536919
75,213.4039629,47.96902483,37.18890873,2171.566297,1434.09271,1.6,49.51125583,149.0704797,0,896.3079439,1434.09271,0.91214814,1572.214696
76,211.7034242,47.67340636,36.91481386,2155.036159,1423.533609,1.6,49.41052005,148.9627857,0,889.7085059,1423.533609,0.909254494,1565.60525
77,210.0825613,47.38763593,36.65214363,2139.092137,1413.427544,1.6,49.33812735,148.8550916,0,883.3922147,1413.427544,0.906235937,1559.668388
78,208.5866321,47.1209701,36.4084159,2124.171477,1404.068923,1.6,49.31249666,148.7473976,0,877.5430766,1404.068923,0.903311516,1554.357381
79,206.8889124,46.79856623,36.12623602,2106.924065,1393.24769,1.6,49.19536125,148.6397036,0,870.7798064,1393.24769,0.899089267,1549.62109
80,202.5270072,45.86165909,35.37514798,2062.256228,1364.363552,1.6,47.94816417,148.5320096,0,852.7272201,1364.363552,0.882851258,1545.405911
81,200.9646286,45.54612837,35.1091655,2045.793986,1354.210331,1.6,47.87282128,148.4243156,0,846.3814571,1354.210331,0.878411903,1541.657537
82,199.4167622,45.22127701,34.8418243,2029.164286,1344.025839,1.6,47.79552195,148.3166216,0,840.0161493,1344.025839,0.873695762,1538.322489
83,197.8566988,44.88053195,34.56840033,2012.091223,1333.625184,1.6,47.70469894,148.2089276,0,833.5157399,1333.625184,0.868613457,1535.349439
84,196.3811103,44.54557135,34.3058315,1995.561346,1323.65791,1.6,47.64098935,148.1012336,0,827.2861936,1323.65791,0.863617319,1532.690325
85,191.2728634,43.37354426,33.40508598,1941.848059,1289.073696,1.6,46.03718096,147.9935396,0,805.6710603,1289.073696,0.842365963,1530.301262
86,189.7873963,43.01063315,33.13379687,1924.672905,1278.780471,1.6,45.95307899,147.8858456,0,799.2377941,1278.780471,0.836819754,1528.143265
87,188.4639059,42.67255397,32.88773989,1908.895077,1269.459569,1.6,45.92980819,147.7781515,0,793.4122307,1269.459569,0.831787372,1526.182787
88,186.9853305,42.28867136,32.612041,1891.342721,1258.987529,1.6,45.83451912,147.6704575,0,786.8672054,1258.987529,0.825894835,1524.39206
89,185.6362949,41.9249724,32.35690849,1874.948051,1249.297566,1.6,45.78815882,147.5627635,0,780.8109785,1249.297566,0.820422378,1522.749256
90,184.2277849,41.54063841,32.08999313,1857.858064,1239.136858,1.6,45.71234754,147.4550695,0,774.4605363,1239.136858,0.814557944,1521.238443
91,182.8752535,41.16395915,31.83207571,1841.303522,1229.304949,1.6,45.65710673,147.3473755,0,768.3155931,1229.304949,0.808833426,1519.849341
92,181.4121251,40.75991292,31.55484928,1823.677297,1218.707114,1.6,45.55394764,147.2396815,0,761.6919463,1218.707114,0.802532379,1518.576877
93,180.110352,40.39224616,31.30631361,1807.786452,1209.196877,1.6,45.51883148,147.1319875,0,755.7480484,1209.196877,0.796876569,1517.420544
94,178.7337705,40.01055743,31.0460556,1791.328561,1199.214322,1.6,45.45416583,147.0242935,0,749.508951,1199.214322,0.790838359,1516.383605
95,177.3900317,39.64159395,30.79341066,1775.45304,1189.508115,1.6,45.40678927,146.9165995,0,743.4425717,1189.508115,0.784909258,1515.472143
96,175.900603,39.2479089,30.51795144,1758.436773,1178.905397,1.6,45.30332472,146.8089055,0,736.8158733,1178.905397,0.778312558,1514.694045
97,174.5167934,38.88777276,30.26376881,1742.848513,1169.112203,1.6,45.25050609,146.7012114,0,730.6951271,1169.112203,0.772171376,1514.057941
98,173.0565719,38.5223266,29.99965662,1726.91235,1158.925854,1.6,45.17309058,146.5935174,0,724.3286586,1158.925854,0.765689184,1513.572188
99,171.5074388,38.15011799,29.72372355,1710.536122,1148.275711,1.6,45.06665898,146.4858234,0,717.6723195,1148.275711,0.758817315,1513.243951
100,170.1572623,37.83593243,29.48600272,1696.607797,1139.096452,1.6,45.05224962,146.3781294,0,711.9352825,1139.096452,0.752833699,1513.078457
101,170.1572623,37.83593243,29.48600272,1696.607797,1139.096452,1.6,45.05224962,146.3781294,0,711.9352825,1139.096452,0.752833699,1513.078457
102,170.1572623,37.83593243,29.48600272,1696.607797,1139.096452,1.6,45.05224962,146.3781294,0,711.9352825,1139.096452,0.752833699,1513.078457
103,170.1572623,37.83593243,29.48600272,1696.607797,1139.096452,1.6,45.05224962,146.3781294,0,711.9352825,1139.096452,0.752833699,1513.078457
104,170.1572623,37.83593243,29.48600272,1696.607797,1139.096452,1.6,45.05224962,146.3781294,0,711.9352825,1139.096452,0.752833699,1513.078457
105,170.1572623,37.83593243,29.48600272,1696.607797,1139.096452,1.6,45.05224962,146.3781294,0,711.9352825,1139.096452,0.752833699,1513.078457
106,170.1572623,37.83593243,29.48600272,1696.607797,1139.096452,1.6,45.05224962,146.3781294,0,711.9352825,1139.096452,0.752833699,1513.078457
107,170.1572623,37.83593243,29.48600272,1696.607797,1139.096452,1.6,45.05224962,146.3781294,0,711.9352825,1139.096452,0.752833699,1513.078457
108,170.1572623,37.83593243,29.48600272,1696.607797,1139.096452,1.6,45.05224962,146.3781294,0,711.9352825,1139.096452,0.752833699,1513.078457
109,170.1572623,37.83593243,29.48600272,1696.607797,1139.096452,1.6,45.05224962,146.3781294,0,711.9352825,1139.096452,0.752833699,1513.078457
110,170.1572623,37.83593243,29.48600272,1696.607797,1139.096452,1.6,45.05224962,146.3781294,0,711.9352825,1139.096452,0.752833699,1513.078457
