source,run,time,gender_name,index_id,count,age,age2,age3,gender,ses,fat,protein,sodium,energy,pa,bmi,alzheimer,asthma,colorectalcancer,diabetes,lowbackpain,osteoarthritisknee,disability_weight,deaths,migrations,normal_weight,over_weight,obese_weight,above_weight,yll,yld,daly
baseline,1,2010,female,21,383,21,441,9261,0,0.0351229,169.977,120.938,4.24167,3642.89,5442.55,25.436,0,0.0809399,0,0,0.109661,0,0.10905,0,0,0.48564,0.383812,0.130548,0.51436,0,10905,10905
baseline,1,2010,male,22,387,22,484,10648,1,-0.0560647,227.15,151.165,4.74859,5068.07,6562.85,26.7848,0,0.0516796,0,0.00258398,0.0671835,0,0.0731558,0,0,0.328165,0.465116,0.206718,0.671835,0,7315.58,7315.58
baseline,1,2010,female,22,381,22,484,10648,0,0.0614184,170.183,121.984,4.27667,3632.47,5684.25,25.2238,0,0.0839895,0,0.00262467,0.0787402,0,0.10905,0,0,0.519685,0.343832,0.136483,0.480315,0,10905,10905
baseline,1,2010,male,23,383,23,529,12167,1,0.0666931,224.696,150.8,4.72004,5038.48,6635.12,26.1004,0,0.0548303,0,0.00261097,0.073107,0,0.0731558,0,0,0.396867,0.454308,0.148825,0.603133,0,7315.58,7315.58
baseline,1,2010,female,23,382,23,529,12167,0,-0.0668056,169.906,122.549,4.28603,3613.92,5686.24,25.3136,0,0.0706806,0,0,0.0968586,0,0.10905,0,0,0.502618,0.366492,0.13089,0.497382,0,10905,10905
baseline,1,2010,male,24,379,24,576,13824,1,-0.0741472,222.409,150.124,4.69272,5003.03,6479.78,26.1688,0,0.0659631,0,0.00791557,0.0659631,0,0.0731558,0,0,0.403694,0.416887,0.17942,0.596306,0,7315.58,7315.58
baseline,1,2010,female,24,383,24,576,13824,0,0.0150302,169.29,122.686,4.27784,3591.41,5516.6,26.2276,0,0.0913838,0,0,0.112272,0,0.10905,0,0,0.375979,0.454308,0.169713,0.624021,0,10905,10905
baseline,1,2010,male,25,373,25,625,15625,1,0.0189395,220.642,149.454,4.6732,4971.37,6185.88,27.0692,0,0.0509383,0,0,0.0455764,0,0.0815439,0,0,0.316354,0.466488,0.217158,0.683646,0,8154.39,8154.39
baseline,1,2010,female,25,380,25,625,15625,0,0.0125679,168.508,122.492,4.25998,3568.31,5260.97,26.2008,0,0.0710526,0,0.00526316,0.0842105,0.00526316,0.122777,0,0,0.392105,0.442105,0.165789,0.607895,0,12277.7,12277.7
baseline,1,2010,male,26,369,26,676,17576,1,-0.0236429,219.369,148.905,4.6588,4945.04,5839.26,27.0649,0,0.0433604,0,0.00271003,0.0813008,0,0.0815439,0,0,0.325203,0.455285,0.219512,0.674797,0,8154.39,8154.39
baseline,1,2010,female,26,377,26,676,17576,0,-0.119857,167.769,122.101,4.23919,3547.63,4981.59,25.2581,0,0.0689655,0,0.00265252,0.103448,0.00265252,0.122777,0,0,0.456233,0.437666,0.106101,0.543767,0,12277.7,12277.7
baseline,1,2010,male,27,378,27,729,19683,1,-0.106912,218.402,148.46,4.64334,4921.42,5498.77,27.515,0,0.047619,0,0.00793651,0.0687831,0.00529101,0.0815439,0,0,0.230159,0.539683,0.230159,0.769841,0,8154.39,8154.39
baseline,1,2010,female,27,387,27,729,19683,0,0.0371458,167.244,121.656,4.22072,3531.59,4706.23,25.8167,0,0.0723514,0,0.00258398,0.0904393,0.00258398,0.122777,0,0,0.457364,0.379845,0.162791,0.542636,0,12277.7,12277.7
baseline,1,2010,male,28,392,28,784,21952,1,-0.0440064,217.588,148.069,4.62258,4898.2,5193.47,26.7042,0,0.0459184,0,0.00510204,0.0739796,0,0.0815439,0,0,0.336735,0.47449,0.188776,0.663265,0,8154.39,8154.39
baseline,1,2010,female,28,403,28,784,21952,0,0.138285,166.96,121.257,4.20726,3520.48,4441,26.2691,0,0.0818859,0,0.00744417,0.101737,0,0.122777,0,0,0.387097,0.44665,0.166253,0.612903,0,12277.7,12277.7
baseline,1,2010,male,29,396,29,841,24389,1,0.0270034,216.88,147.694,4.59611,4875.09,4931.15,26.7492,0,0.0606061,0,0.00505051,0.0782828,0,0.0815439,0,0,0.348485,0.457071,0.194444,0.651515,0,8154.39,8154.39
baseline,1,2010,female,29,407,29,841,24389,0,0.0769343,166.757,120.913,4.1975,3511.87,4189.09,26.3517,0,0.0638821,0,0.00982801,0.105651,0.00982801,0.122777,0,0,0.388206,0.44226,0.169533,0.611794,0,12277.7,12277.7
baseline,1,2010,male,30,390,30,900,27000,1,0.0403736,216.295,147.308,4.5666,4853.19,4707.51,27.1339,0,0.0435897,0,0.00512821,0.0846154,0,0.0890082,0,0,0.282051,0.510256,0.207692,0.717949,0,8900.82,8900.82
