Age,Gender,FoodCarbohydrate,FoodFat,FoodProtein,FoodSodium,FoodMonounsaturatedFat,FoodPolyunsaturatedFattyAcid,FoodSaturatedFat,FoodTotalSugar,FoodAddedSugar,FoodFibre,FoodFruit,FoodVegetable,FoodRedMeat,FoodProcessedMeat,FoodLegume,FoodCalcium,FoodIron,FoodVitaminC,FoodCopper,FoodZinc,FoodAlcohol,Height,Weight,EnergyIntake,inc_quintile,PhysicalActivity,BMR,steadystate,ratio
34,0,360.018819748249,127.856874529789,108.482656444594,3.84357982939206,51.4587551663027,22.6743988150815,46.5430346818468,149.475880364243,91.7212653676067,25.5709022687814,164.33255242724,259.045651381215,51.2374218243694,90.9529588393919,33.8394865717766,1257.28426285449,16.1415446986422,102.41134297648,1.63183278480378,12.6959581835553,19.5788383077544,176.6733916,85.14217838,3161.76964369376,5,1.76388915068504,1792.4990595162,3161.76964369376,1.0003234070089
35,0,359.52724789966,127.894982297752,108.466559996566,3.84767321627496,51.4519241269956,22.6736837923286,46.6027866613882,149.152569672141,91.3025773583219,25.5616659605673,164.971778462816,260.393188775977,51.4426078969671,91.1780041870477,33.703678335949,1254.5596623589,16.1486204182537,102.091679362429,1.63547141317974,12.7031731313499,19.7920762206859,176.5826588,85.36961548,3161.57460580948,5,1.76694950117743,1789.2840761452,3161.57460580948,1.00160436787345
36,0,359.036517726238,127.921928843427,108.441751805696,3.85110112425732,51.4373095441273,22.6660739737822,46.6597587198163,148.85848587874,90.8933810652742,25.5518929117146,165.58692446006,261.753453078468,51.6490578830544,91.4414823146768,33.5516596250859,1252.13984180658,16.1543232267477,101.780323664243,1.63907011885183,12.7078908924979,19.978214764012,176.4846126,85.5668326,3161.05794106666,5,1.77018530890662,1785.721486424,3161.05794106666,1.00297531618315
37,0,358.555223816988,127.94005193158,108.411302090699,3.85390449024226,51.4158471890614,22.6523056565924,46.7144957640539,148.599887606655,90.4974526290145,25.5424781712401,166.191526551222,263.138431341545,51.85911772818,91.7435493711736,33.3925942693428,1250.07750733289,16.1588926530497,101.478878820199,1.6426514115905,12.710447871457,20.1336079149871,176.3823404,85.74061662,3160.26182641988,5,1.77353649822523,1781.8983875338,3160.26182641988,1.0044038565347
38,0,358.089984818452,127.95105418784,108.377706694646,3.85610814907849,51.3882012202365,22.6330419757433,46.7673796074165,148.382149015647,90.1177079834577,25.5342174918688,166.800319841172,264.560536924295,52.0749039878599,92.082812953094,33.2357025647141,1248.41685430541,16.1625495812758,101.189145631297,1.6462314990084,12.7111571244595,20.2554864863145,176.2785595,85.89781365,3159.21865914715,5,1.77693817610548,1777.9001552385,3159.21865914715,1.00585537451435
39,0,357.644370884988,127.955616819044,108.342529668793,3.85770981923926,51.3546059204302,22.6087916351405,46.8184937953418,148.209219417483,89.7559727625914,25.5277134081176,167.428265181493,266.031286697665,52.2981063153957,92.456176356617,33.0898446953941,1247.18868696116,16.1654412945392,100.91278284894,1.64981502561514,12.7102634982539,20.3420104806593,176.1754542,86.04470586,3157.94222695113,5,1.78032276998505,1773.8032002914,3157.94222695113,1.00729438318129
40,0,357.217949476573,127.953061853868,108.306081068098,3.85867030883095,51.3147292887949,22.5798369987708,46.867503791404,148.083127476542,89.4127979521626,25.5232863212571,168.08954849757,267.559958810429,52.5298081239901,92.8587351405824,32.9631303386947,1246.40593722906,16.1675878085174,100.650964913718,1.65339004542068,12.7079014784157,20.3922825103279,176.0745717,86.1864103,3156.41965643579,5,1.78362218218696,1769.668312022,3156.41965643579,1.00868587754983
41,0,356.805604764472,127.941119018411,108.267178822076,3.85890663745154,51.267581485944,22.5461820315035,46.9135728200512,148.003598028605,89.0873569082524,25.5209028369519,168.796652141397,269.152384096537,52.7703497548104,93.2837543628515,32.8625816469669,1246.0601734188,16.1688375438283,100.404086672886,1.65692401307431,12.7040618549833,20.4063302378151,175.976777,86.32638506,3154.6055171766,5,1.7867698604891,1765.5354429994,3154.6055171766,1.00999663889466
42,0,356.397276930595,127.915849619713,108.223040907116,3.85828967257846,51.2114893310798,22.5075297217411,46.9553323999826,147.967846114857,88.7774561928778,25.5201332154005,169.559596018446,270.810023437464,53.0192573160277,93.7227548071045,32.7938723604886,1246.11965936046,16.168840159889,100.171562179204,1.6603615713332,12.6985730091265,20.3850675469116,175.8822606,86.46612467,3152.41939075665,5,1.78970269018467,1761.4207142033,3152.41939075665,1.01119643360897
43,0,355.978225364343,127.871763942719,108.169341166067,3.85664741011871,51.1441513314172,22.4632955950353,46.9909208935327,147.970596006049,88.4796815038926,25.5201469511479,170.385427762117,272.529455609785,53.2752542227544,94.1657288315088,32.7611587555148,1246.52938190962,16.1670425150337,99.9517527262637,1.66362473997321,12.691101070916,20.330242913758,175.7905914,86.60510376,3149.74784200242,5,1.79236262250859,1757.3161828124,3149.74784200242,1.0122590656185
44,0,355.529842634881,127.802140081929,108.100438492797,3.85377417036285,51.062775905875,22.4126586874611,47.0180930071717,148.004341998123,88.1896805174439,25.5197500714974,171.278005387626,274.302343291117,53.536360948708,94.6014896587149,32.7670088524111,1247.21320238949,16.1627101667992,99.7420375727707,1.66661576049929,12.6811703563994,20.2443793476574,175.700807,86.740988,3146.45104068167,5,1.79469796715946,1753.19251387,3146.45104068167,1.01316323589494
