Age,Gender,FoodCarbohydrate,FoodFat,FoodProtein,FoodSodium,oldenergy,FoodMonounsaturatedFat,FoodPolyunsaturatedFattyAcid,FoodSaturatedFat,FoodTotalSugar,FoodAddedSugar,FoodFibre,FoodFruit,FoodVegetable,FoodRedMeat,FoodProcessedMeat,FoodLegume,FoodCalcium,FoodIron,FoodVitaminC,FoodCopper,FoodZinc,FoodAlcohol,Height,Weight,PhysicalActivity,BMR,EnergyIntake,ratio,Income
22,0,365.248822609536,126.65503835278,107.718445347874,3.75651991269607,2247.43740287086,50.9848604537106,22.1469432797892,45.815548197627,154.536470359801,96.288275574305,25.5620497393119,154.40354579786,244.199243536326,48.5713677830262,90.3725354964523,32.4761082863387,1304.23450109924,16.0368362268931,107.717874444487,1.58925872022783,12.4409189412593,16.8885305068168,176.5620555,79.46425376,1.755725831,1794.1207419374,3149.98413055238,1.40158926185379,658.4221885
23,0,365.105855104961,126.861616924045,107.91740787484,3.76764307338558,2261.65213972375,51.0846912723243,22.2333824191435,45.8862425952255,154.169914916968,96.0793135658103,25.5865776483841,155.343247608717,245.342493033309,48.8372831824884,90.4264132551949,32.8296209743987,1300.48346563776,16.0497696242575,107.173583124974,1.5934093146141,12.4767683199571,17.02008295581,176.6367653,80.03739994,1.756154484,1795.3934085256,3152.98818492628,1.39410837305484,662.7800243
24,0,364.980468628335,127.079599656034,108.114909389854,3.7790051165122,2275.41250222608,51.1861350641504,22.3190219049825,45.9675934655971,153.818813128294,95.8458429844587,25.6123574716557,156.330233121981,246.583506409233,49.1078593183872,90.4798216797189,33.1567676124207,1296.91984304119,16.066035431377,106.675667237633,1.59780458454795,12.5134853300803,17.1851791209846,176.7099767,80.62933682,1.756631855,1796.8444292068,3156.39416282396,1.38717448363143,667.3938187
25,0,364.838278072302,127.295143974787,108.299949694462,3.79019858289334,2288.76230383266,51.2835347915124,22.4008308592047,46.0542922102725,153.469748221162,95.5819869632102,25.6367773005463,157.337674003956,247.890587271581,49.3771663947535,90.529223152789,33.4490312909131,1293.42950728576,16.0839699775433,106.213364220125,1.60229049740178,12.5495705621188,17.3796445267454,176.7773897,81.22402547,1.757154028,1798.2867000703,3159.86671852736,1.38060064744862,672.2487848
26,0,364.649501153866,127.49594369887,108.462919631341,3.80085599272236,2301.75772151371,51.3718574314426,22.4760868681245,46.1415237280929,153.111310554078,95.2834176482323,25.6575390713388,158.340276722193,249.233655243365,49.6399936050012,90.5725737264836,33.6988864310137,1289.91533517758,16.1020287520497,105.776452260556,1.60672805805976,12.5836615162727,17.5988363370535,176.83482,81.80733556,1.757717163,1799.5529072444,3163.10503079003,1.37421284665437,677.3266141
27,0,364.390051785656,127.67166835676,108.595955083164,3.81066259185023,2314.46321335808,51.4468745498933,22.5424716750796,46.2251319913694,152.734585184161,94.9475574448899,25.6727438141469,159.315241626461,250.585439236562,49.8920446022095,90.6094296182823,33.9001759909855,1286.30140556082,16.1188415434118,105.355637821505,1.61099821679215,12.6145797398154,17.8376623429872,176.8785102,82.36740319,1.7583176,1800.5010466181,3165.85267908703,1.36785612353443,682.6055395
28,0,364.042183214149,127.814243525681,108.693159240331,3.8193647495889,2326.94735715999,51.5052788359006,22.5981371019402,46.3017302052918,152.333449465515,94.5736496843922,25.6809474622022,160.243079794077,251.922479245425,50.1300694564048,90.6409134267852,34.0484307992111,1282.53558958382,16.1332528975993,104.942851195295,1.61500513738968,12.641364247541,18.0906255317417,176.9054217,82.89479584,1.75895195,1801.0178960666,3167.90394027124,1.3613990580937,688.0603954
29,0,363.594729495265,127.917984397219,108.750703873936,3.82677434032169,2339.2788023231,51.5447408474645,22.6417421572305,46.3687599467433,151.904699513257,94.1627159832456,25.6811899903373,161.108276777557,253.225930499483,50.3519357047656,90.6695608747295,34.141113238647,1278.59068305422,16.144349365256,104.531462099355,1.61867800520243,12.6632921177937,18.3519001412065,176.9134674,83.38253515,1.759617143,1801.0206973985,3169.10689404022,1.35473672094708,693.6626583
30,0,363.043017783045,127.979604333957,108.766828057325,3.83276971386446,2351.5225128241,51.563914187806,22.6724642936359,46.4245068579884,151.448033314704,93.7174249534027,25.6730021200222,161.89979881079,254.482171152193,50.5566451443091,90.6990784147776,34.1777722253877,1274.46430317228,16.1514756186478,104.116429145219,1.62197163943692,12.6798879097833,18.6154422339635,176.9016546,83.82602994,1.760310437,1800.4573803506,3169.36391800484,1.34779229232151,699.3804609
31,0,362.3885239279,127.998121753573,108.741753558361,3.83729389433212,2363.73645578713,51.5623981184469,22.6899884151947,46.4680808582169,150.965917672043,93.241897308707,25.656393661594,162.611436328362,255.683210676322,50.7443040902472,90.7340443819538,34.1601008752202,1270.17776555914,16.1542411792762,103.694393025471,1.62486615573929,12.6909235466111,18.8751337258668,176.8701212,84.22296179,1.7610294,1799.3056457821,3168.63014180826,1.34051752429951,705.1785756
32,0,361.638316183661,127.974680533264,108.677528647314,3.84035039183466,2375.96886036427,51.5406635193204,22.6944761412082,46.4993657896803,150.46335465518,92.74146502399,25.6318255059701,163.241969668096,256.826877813789,50.9160521228327,90.7795801923324,34.0918915613747,1265.77406237137,16.1525180634265,103.263712929892,1.62736578621124,12.6964093992206,19.1249534950931,176.8200636,84.57314595,1.761771834,1797.5711255405,3166.91017858893,1.33289212304887,711.0183784
33,0,360.804323391292,127.912297542888,108.577810304519,3.84199695368291,2388.25613729313,51.4999476757598,22.6865178636213,46.5189428108713,149.947560458744,92.2223993770523,25.6001666712169,163.79514311165,257.91676664325,51.07395422781,90.8410148796601,33.9788890970451,1261.31504324346,16.1464292315819,102.82444270396,1.629496915242,12.6965771189929,19.359165385021,176.753571,84.87836804,1.762535682,1795.2847154696,3164.25337036439,1.32492211407056,716.8578108
34,0,359.902424781555,127.815538088925,108.447583735916,3.84233719061406,2400.62151295785,51.4421184246516,22.6670681263782,46.5279872046749,149.427554445813,91.6916116577394,25.5626351334133,164.279423310324,258.961901287301,51.2208566403301,90.9235535249079,33.8285461828402,1256.87777977118,16.1363260976843,102.378233138324,1.63130520926545,12.6918535491616,19.5725084213492,176.6733916,85.14217838,1.763318881,1792.4990595162,3160.74743581966,1.31663713699093,722.6513678
35,0,358.951357872959,127.690120370873,108.292818477676,3.84151002101173,2413.07439512875,51.3695085378228,22.637365130973,46.5281384109105,148.913657384316,91.1563290724968,25.52072133515,164.707526997986,259.976091486932,51.360207230513,91.0319554422792,33.6496918513913,1252.55011120061,16.1227535903619,101.92814911459,1.63285171834073,12.682825214032,19.7603733125759,176.5826588,85.36961548,1.764119205,1789.2840761452,3156.51040192843,1.30808665008441,728.3501499
