Age,Gender,FoodCarbohydrate,FoodFat,FoodProtein,FoodSodium,FoodMonounsaturatedFat,FoodPolyunsaturatedFattyAcid,FoodSaturatedFat,FoodTotalSugar,FoodAddedSugar,FoodFibre,FoodFruit,FoodVegetable,FoodRedMeat,FoodProcessedMeat,FoodLegume,FoodCalcium,FoodIron,FoodVitaminC,FoodCopper,FoodZinc,FoodAlcohol,Height,Weight,EnergyIntake,inc_quintile,PhysicalActivity,BMR,steadystate,ratio
10,1,228.833995882638,78.8852530768437,61.4089061063168,2.2765995425839,31.6816773132587,13.4218263926284,28.9986045502547,100.316948244327,69.1766978567134,15.8388266642922,92.444245638211,157.515918690847,28.4298853784549,51.4361970432466,17.6512432849079,840.764011104952,9.63706900700745,79.2035296676795,0.962353556454235,7.19260837247363,0,141.4,34.1,1870.93888564741,1,1.84472715746696,1014.209,1870.93888564741,0.994085309375071
11,1,245.186258373476,84.6495811145255,65.9975910507886,2.45084213570918,34.0233891399508,14.4148996228292,31.0712612450605,107.339258578433,74.4190792544367,16.9895184495067,99.0728416322308,169.350997116692,30.5930003505253,55.3827534967939,19.1126617106632,897.836676588994,10.329166838293,84.5905250963849,1.03480907210268,7.71820242145784,0,147.1,38,2006.58162772778,1,1.85130354305412,1083.875,2006.58162772778,0.993938386598437
12,1,261.084426696144,90.2920926434375,70.5082547771471,2.62231400046503,36.3204188168011,15.39107600145,33.0899681155121,114.134719811654,79.5349635176245,18.1181116592801,105.584182317917,180.991801189988,32.7347020126311,59.2548711080519,20.591644965017,952.83951036035,11.0049954789295,89.7855659164088,1.10617827459639,8.23354147853042,0,152.75,42.5,2138.9995596841,1,1.84520190013919,1159.2225,2138.9995596841,0.993841957086426
13,1,275.348116528906,95.4060767738365,74.6229302742564,2.77891056010755,38.4086736136786,16.2811664694597,34.9061355603866,120.189310232987,84.1502059338381,19.1443978338588,111.51884321226,191.618989311275,34.7092461830531,62.7761966635488,21.9965989670182,1001.54403499688,11.6155384188957,94.390544802989,1.17147544974788,8.70195764125885,0,157.65,47.5,2258.53887817718,1,1.82895783442259,1234.8775,2258.53887817718,0.993784516665336
14,1,284.148723400367,98.6611564222909,77.2981590752382,2.8814119422143,39.7513008771295,16.8576714107764,36.0350606981228,123.838772443675,87.0757471379833,19.8027729112331,115.337267376266,198.548327912674,36.0311305234608,65.0595096327624,23.0148145512284,1030.18398416286,11.9997386805343,97.1080180280435,1.21430170982633,9.00250340073982,0,161,51.7,2333.73793770304,1,1.80510695160474,1292.853,2333.73793770304,0.993756072913501
15,1,286.372696787677,99.6584735192152,78.2145614271055,2.9175130813033,40.1852884471562,17.0510486602769,36.3353469897303,124.611552496268,87.9483621496783,20.014001370472,116.583008737718,200.953142554354,36.5476917381901,65.8286931672146,23.5362775599864,1034.98183536983,12.1103522099296,97.5811590303241,1.22958974640713,9.09898987636422,0,162.7,54.45,2355.27529453207,1,1.77618485738606,1326.0305,2355.27529453207,0.993747210240065
16,1,296.768009970046,103.526050409119,81.3956550200075,3.03705102989666,41.777490217023,17.7380502715721,37.6784133664077,128.930845782854,91.2884026182796,20.8087683066904,121.262422946803,209.167383411558,38.1378196876247,68.4661845321901,24.7651682950352,1069.34591900601,12.571256521899,100.845486444662,1.28057533407951,9.45994461564084,7.3157640284198,163.0317,66.22615967,2495.59946184123,1,1.73205989679174,1440.8274601033,2495.59946184123,0.984850309352187
17,1,295.433691690076,103.323926043988,81.3884591830379,3.03641482954502,41.7274668139513,17.7296303489119,37.5381832767904,128.150115781837,90.9739947211666,20.793134043086,121.254031262037,209.176745202419,38.2475793438069,68.3829865356089,25.0427919487448,1061.55916019515,12.5400572839439,100.138371503275,1.28147911278012,9.45167243450513,7.28959548005228,163.029912,66.30654989,2488.23110624871,1,1.73190796557476,1436.6993834011,2488.23110624871,0.984777212582526
18,1,294.190841343136,103.163464404021,81.4206513170539,3.03592480870631,41.6927610410114,17.7287955345228,37.4144300082707,127.415544227831,90.6371916754222,20.792993679344,121.3673356847,209.272893467106,38.3836844500847,68.2971015312569,25.3355447777674,1054.36802131312,12.516669241521,99.4903055242457,1.2830360821006,9.44973334410587,7.29351083343758,163.0261472,66.46451213,2481.97172611102,1,1.73160750103518,1433.3338961787,2481.97172611102,0.98463410085169
19,1,293.034110486109,103.040175910585,81.4895389735414,3.03543244490853,41.6712880985866,17.7343523111969,37.3063026428441,126.727061489535,90.2791490285733,20.8074973840462,121.595612975905,209.448359953903,38.5429590362242,68.2087780327058,25.6373335532892,1047.77103961836,12.5007883296993,98.9013975674151,1.28519731368827,9.45384304946395,7.3251996472405,163.0200673,66.69452879,2476.73257856455,1,1.73116516302123,1430.6737632371,2476.73257856455,0.984426991028789
