Age,Gender,FoodCarbohydrate,FoodFat,FoodProtein,FoodSodium,oldenergy,FoodMonounsaturatedFat,FoodPolyunsaturatedFattyAcid,FoodSaturatedFat,FoodTotalSugar,FoodAddedSugar,FoodFibre,FoodFruit,FoodVegetable,FoodRedMeat,FoodProcessedMeat,FoodLegume,FoodCalcium,FoodIron,FoodVitaminC,FoodCopper,FoodZinc,FoodAlcohol,Height,Weight,PhysicalActivity,BMR,EnergyIntake,ratio,Income
21,1,295.712782105309,104.568043277391,83.0605799642906,3.08352523300631,1908.73405096225,42.3403371053158,18.0501318693448,37.7401331550813,127.538014533103,90.9715294116602,21.217146441792,124.362956432917,213.438525578537,39.5518039809075,69.1411280004038,26.6710794106578,1053.26101156105,12.6939753667266,99.4987588162969,1.31221018119513,9.63357059274717,7.58121527837775,162.9993119,67.33674556,1.758278714,1427.1197875194,2509.27434472356,1.31462753727192,654.3315279
22,1,294.833651170243,104.55131185515,83.2414013312645,3.08300491297944,1913.44870818332,42.3553737289439,18.072184038443,37.6807025599399,127.005011583095,90.5794616887056,21.2740136605345,124.919116466255,213.859755959652,39.7691066952875,69.067890882172,26.9719743337557,1048.53577411568,12.7007636166744,99.0981114975568,1.31619180391728,9.65580190033225,7.67930800318051,162.9839437,67.72725363,1.758070503,1426.0049118887,2507.01717272464,1.31020871476867,658.4221885
23,1,293.994650039791,104.544542864006,83.4380940792973,3.08181842467547,1917.67522035694,42.3715815407962,18.0945921945764,37.6300094478585,126.505206422042,90.1709074969914,21.3384333992965,125.54192185473,214.312114950312,39.9894404487865,68.9936440304105,27.25386044133,1044.25762042749,12.7118978978361,98.7438528414793,1.3204215256571,9.68138562199977,7.78983082166132,162.9650562,68.14756212,1.757803037,1425.1657468288,2505.16067800404,1.30635294830464,662.7800243
24,1,293.175872338411,104.538047550834,83.642112037875,3.07977065731617,1921.49418087613,42.3847912619267,18.115483564274,37.5851741081911,126.031027709308,89.7460839992296,21.4075150256866,126.213197316922,214.777577850342,40.2060421731971,68.9179689071168,27.5096284065641,1040.34570711851,12.7259759247644,98.4285081750832,1.32475609084366,9.70915901187905,7.90783041044967,162.9428051,68.58484367,1.757467816,1424.4751201383,2503.4691783358,1.30287627371024,667.3938187
25,1,292.358843881955,104.522838563562,83.845065109135,3.07670628557388,1924.9974077001,42.3911268113884,18.1331700410919,37.5434947084752,125.575189947619,89.3059719749524,21.4783383872142,126.915018511787,215.239676299645,40.412487654726,68.8410402768492,27.7330718733482,1036.71976400034,12.7415846032243,98.144544058127,1.32905412946043,9.73794762111998,8.02838673764341,162.9176149,69.02678211,1.757056939,1423.8126464039,2501.71989019993,1.29959649825652,672.2487848
26,1,291.527801091554,104.491153755226,84.0391935037165,3.07252350520941,1928.28422869572,42.3872223560142,18.1462367122139,37.5026224154888,125.131233918815,88.8525633066651,21.548094472147,127.630594690373,215.684695826049,40.6030868891446,68.7638220332841,27.91924861853,1033.305304288,12.7573754873848,97.8848167812651,1.33318380011719,9.76662680206094,8.14682084450144,162.8901503,69.46229372,1.756563646,1423.0717536378,2499.71610808963,1.2963421423513,677.3266141
27,1,290.670696253977,104.436874981609,84.2177861758292,3.06718390696961,1931.45770104455,42.3703971997441,18.153608347983,37.4607019671812,124.693963298437,88.3890049063828,21.6142151700415,128.345062103438,216.102665058871,40.7732409530405,68.6881912910204,28.0647813431296,1030.03808065498,12.7721331057742,97.6429497071245,1.33702967367078,9.79417812682322,8.25889184438426,162.8612457,69.88214501,1.755982829,1422.1654142749,2497.2980474644,1.29296025800297,682.6055395
28,1,289.779814541091,104.355795043788,84.3754988059041,3.06071707779988,1934.62090772005,42.3387688960411,18.1545861019891,37.4164621472605,124.259729966825,87.9196055428743,21.6744801385043,129.046116249675,216.48802178467,40.9197243361376,68.6169648916779,28.1680655562663,1026.86736649374,12.7848295571178,97.4136039575803,1.3404981393292,9.81973520963364,8.3609687598757,162.8318003,70.27939936,1.755311482,1421.0299514814,2494.3501901012,1.28932246113312,688.0603954
29,1,288.851938274917,104.245704487535,84.508538918176,3.0532191787892,1937.87346969229,42.2912925626798,18.1488502216521,37.3692468153894,123.826540851113,87.4496923733869,21.727091401624,129.724427538744,216.839879722915,41.0408639050867,68.553815846143,28.2293603841796,1023.75778610706,12.7946604154862,97.1926207957128,1.34352079228476,9.84261464926223,8.45016386331798,162.8026544,70.64964273,1.754549073,1419.6265208727,2490.80439620341,1.28532870445815,693.6626583
30,1,287.888055585058,104.106293573327,84.6147031692721,3.04484554576571,1941.3084022858,42.2277241128696,18.1364289672025,37.318984951354,123.393983897825,86.9853266741764,21.7707104185361,130.373810784623,217.161871363941,41.1365973949828,68.5030826894309,28.2507507056382,1020.6896050018,12.8010594032249,96.9770314348588,1.34605552556554,9.86232970828472,8.52441735299,162.7744664,70.99096773,1.753697814,1417.9401826227,2486.63859864819,1.28090858501425,699.3804609
31,1,286.892670753247,103.93888859401,84.6932710046051,3.03579813088755,1945.00942791123,42.1485150175061,18.1176382867719,37.2661059946377,122.962994928469,86.5329087951913,21.8044571387945,130.991148967694,217.461596247659,41.2084083691299,68.4694891451873,28.2359834739675,1017.65758373441,12.8036920027962,96.7649473410516,1.34808534566723,9.87858654141975,8.58252797625774,162.7476084,71.30372748,1.752762812,1415.9767900252,2481.8714602113,1.27602027249637,705.1785756
