"Age","Gender","FoodCarbohydrate","FoodFat","FoodProtein","FoodSodium","FoodMonounsaturatedFat","FoodPolyunsaturatedFattyAcid","FoodSaturatedFat","FoodTotalSugar","FoodAddedSugar","FoodFibre","FoodFruit","FoodVegetable","FoodRedMeat","FoodProcessedMeat","FoodLegume","FoodCalcium","FoodIron","FoodVitaminC","FoodCopper","FoodZinc","FoodAlcohol","PhysicalActivity"
10,1,211.675380040519,73.2224492100753,56.5763474451123,2.08773286415983,29.3124871152583,12.6304326931991,26.6256002010573,92.0455669007165,61.8687071182928,14.7468521901457,86.0360149561687,146.411300643989,26.1069848179077,48.0079741009754,17.2536806230281,779.753444813853,8.92922667092953,73.2649833051826,0.893955937373033,6.64456485779808,0,1.70774362334156
11,1,225.943438746204,78.2827376934576,60.6303975779915,2.24062381905967,31.3635713965976,13.5077100506244,28.4442449936811,98.1206182362676,66.3348229656938,15.7684331260785,91.8510854131581,156.913565281973,28.0201516902254,51.5137861184455,18.5848235086787,829.558796244833,9.53691691354283,77.9100631653772,0.957822271016109,7.10562981833383,0,1.7076138716841
12,1,241.331811461766,83.7648371586901,65.0289494593476,2.40622880591502,33.5874822906449,14.4601218577653,30.4104453209666,104.658770949025,71.1479247621851,16.8774865900289,98.1761192111422,168.320185564781,30.1035786410787,55.3015807260779,20.0547845311403,883.08202891123,10.1946455399721,82.9065513909907,1.0272392385939,7.60558211108895,0,1.70746045573955
13,1,256.71378006752,89.2822008352158,69.4718467391478,2.57324216212416,35.8292271571617,15.4213754361612,32.3832044836466,111.17047220401,75.9685078767867,17.9970562100608,104.569987940513,179.856304961293,32.2200507120596,59.1093371658257,21.575605990315,936.20937015746,10.8555488070627,87.8703480067232,1.09750257371181,8.1095918930482,0,1.70728053114578
14,1,268.351203757979,93.53463676185,72.943884391719,2.70378158477786,37.5662959984915,16.1670552815167,33.8911151388653,116.040130501706,79.6764640113883,18.8658862383875,109.523951220023,188.894037570774,33.8990052584598,62.0658293266899,22.8319490161187,975.397657800582,11.3620586023102,91.5328854184246,1.15260612012038,8.49982629214177,0,1.70707116974339
15,1,274.783373418653,96.004654710976,75.0331195751394,2.78226265056749,38.5890653134248,16.6073334204864,34.748282129169,118.64552665731,81.8176104394173,19.3799332847918,112.444713714207,194.363970870908,34.9465635605363,63.8146835780159,23.6866009299426,995.537114987641,11.6522301265735,93.4170772580728,1.18605137642333,8.72941247041799,0,1.70682941663239
16,1,291.825262101962,102.218725063166,80.0586602612263,2.96860857322613,41.1185437677015,17.6982828600132,36.9550905867206,125.816819772028,87.0937083641755,20.6557357087564,119.816605492328,207.453049419738,37.3750284404317,68.0238793954473,25.5018607063348,1053.97214338213,12.3973004335023,98.905358071528,1.26612884531112,9.30125668253413,17.9538681065286,1.70655235522253
17,1,290.456714492644,102.013792943491,80.0626299103802,2.96756617248394,41.0664903318784,17.6803202837833,36.8372861538795,125.042474379177,86.8415474293051,20.6404946913942,119.73571582029,207.538755091682,37.4702151107381,67.9282731645526,25.7415722329476,1045.90310362504,12.3650380175954,98.1639991192862,1.26699452842793,9.29100559998462,17.838622831724,1.70623717929946
18,1,289.199553717443,101.858903805831,80.1020188884842,2.96660589380187,41.0329255410278,17.6722118204692,36.7369252971122,124.321474637273,86.5772754253047,20.6402611949277,119.779968996771,207.717622796907,37.5867511536518,67.8299324418262,25.9967533031278,1038.45606920909,12.3408825085275,97.4912702414754,1.26856834180087,9.2870774978841,17.7463715864953,1.70588127066592
19,1,288.046544914449,101.749106483027,80.1740964192177,2.9656098049206,41.0156690845243,17.6727993863066,36.6529003374772,123.652279634996,86.3010139626707,20.6540859094412,119.94359382716,207.979792982864,37.7224990047065,67.728705246528,26.2606482550136,1031.62142151665,12.3244597619649,96.8855212118091,1.27078754123261,9.28918516888361,17.674812886083,1.70548228047457
20,1,286.986337335915,101.677802539183,80.2747854719201,2.96444035489944,41.0118954250932,17.6806306111118,36.5835498123648,123.031489651115,86.0125605284476,20.6805377982563,120.217865748458,208.312390340454,37.8745117395781,67.6242881511476,26.5257788018254,1025.36964952139,12.3151271861508,96.3431050172674,1.27356535757343,9.29683299585952,17.6207387110728,1.70503821196991
21,1,286.004241389389,101.637075931942,80.3988020747436,2.96294701154609,41.0182626607697,17.6940277523145,36.5267596395079,122.454177034583,85.7114800184526,20.7177558843823,120.591546634255,208.70017684719,38.0391435350361,67.5163151025126,26.784233242237,1019.6542962843,12.3120023225316,95.8587034724496,1.27679389323239,9.30933531130591,17.5801888258978,1.70454750202334
22,1,285.083235957607,101.618112843319,80.5398888057,2.96097568407032,41.0310787215232,17.7111706724611,36.4800949340792,121.914316180649,85.397279987656,20.7635254859244,121.051435491531,209.126437548502,38.2122235263933,67.4045035254431,27.0280120711505,1014.41576306033,12.3140054312154,95.4257233036242,1.28034850568643,9.325846346774,17.5486383659866,1.70400909859675
23,1,284.205159983261,101.611695197424,80.6911353327645,2.95838038620928,41.0464983513446,17.7301906766474,36.4409569758023,121.40529086453,85.0696509611729,20.8153773564149,121.583016834294,209.574061409089,38.3892874073471,67.2888446937057,27.2494178969526,1009.58581611485,12.3199150781139,95.0367488481307,1.28409358286571,9.34540120428546,17.5212153837083,1.70342253112211
